ID,Make,Model,Model Version,Price,Mileage,Gearbox,First Registration,Fuel Type,Power,Seller,Gears,Engine Size,Cylinders,Weight,Other Fuel Types,Fuel Consumption,CO2 Emissions,Emission Class,Link,Data,Site,Portugal
c24db7f60d4f477a9b25ee29c3f9983d,,,,,,,,,,,,,,,,,,,https://www.autoscout24.com/offers/land-rover-range-rover-velar-8-fach-pano-black-pack-diesel-black-c24db7f6-0d4f-477a-9b25-ee29c3f9983d,2024-01-23,AutoScout24,No
cf04172176de42aabe05a909a4eb5b59,,,,,,,,,,,,,,,,,,,https://www.autoscout24.com/offers/volkswagen-touareg-4motion-v6-tdi-scr-r-line-aut-1-besitz-diesel-grey-cf041721-76de-42aa-be05-a909a4eb5b59,2024-01-23,AutoScout24,No
ab1923124d974915aa0db0255104c74b,,,,,,,,,,,,,,,,,,,https://www.autoscout24.com/offers/maserati-ghibli-3-0-v6-d-275-pk-pdc-navi-cruise-stoelverwarmi-diesel-black-ab192312-4d97-4915-aa0d-b0255104c74b,2024-01-23,AutoScout24,No
89013e63ec784430acbd24c4e326a538,,,,,,,,,,,,,,,,,,,https://www.autoscout24.com/offers/audi-a7-3-0-tdi-comp-navi-matrix-360-hud-acc-diesel-grey-89013e63-ec78-4430-acbd-24c4e326a538,2024-01-23,AutoScout24,No
ab26b27db51247c3a6208db53777a750,,,,,,,,,,,,,,,,,,,https://www.autoscout24.com/offers/maserati-ghibli-3-0-v6-diesel-navi-shz-led-cam-pdc-egsd-diesel-black-ab26b27d-b512-47c3-a620-8db53777a750,2024-01-23,AutoScout24,No
8bc681684fad49938dc66f28b02cd37d,,,,,,,,,,,,,,,,,,,https://www.autoscout24.com/offers/mercedes-benz-cls-300-d-amg-line-night-fahrassistenz-park-pak-diesel-grey-8bc68168-4fad-4993-8dc6-6f28b02cd37d,2024-01-23,AutoScout24,No
84effaa9d2c140faa3672d3b24cd5325,,,,,,,,,,,,,,,,,,,https://www.autoscout24.com/offers/jaguar-f-type-3-0-v6-coupe-aut-perfect-jaguar-onderh-sportuitl-gasoline-black-84effaa9-d2c1-40fa-a367-2d3b24cd5325,2024-01-23,AutoScout24,No
e33f1f58fe0240ffb71da2817a75d208,,,,,,,,,,,,,,,,,,,https://www.autoscout24.com/offers/audi-s8-4-0-tfsi-tiptronic-massage-nacht-glsd-b-o-acc-gasoline-black-e33f1f58-fe02-40ff-b71d-a2817a75d208,2024-01-23,AutoScout24,No
b297d1ea4ceb4d84a21ca59ddf57a71c,,,,,,,,,,,,,,,,,,,https://www.autoscout24.com/offers/volvo-s60-2-0-t4-r-design-panoramadak-full-led-leder-gasoline-grey-b297d1ea-4ceb-4d84-a21c-a59ddf57a71c,2024-01-23,AutoScout24,No
ac4e795a107246df90d0f0941ec6b629,,,,,,,,,,,,,,,,,,,https://www.autoscout24.com/offers/audi-rs4-rs4-avant-4-2-fsi-quattro-s-tronic-unico-prop-gasoline-silver-ac4e795a-1072-46df-90d0-f0941ec6b629,2024-01-23,AutoScout24,No
6a0bb8c3b0a84d619433244e0e0909d6,,,,,,,,,,,,,,,,,,,https://www.autoscout24.com/offers/mercedes-benz-cla-45-amg-4-matic-met-1-jaar-garantie-mogelijk-tot-5-jaar-gasoline-white-6a0bb8c3-b0a8-4d61-9433-244e0e0909d6,2024-01-23,AutoScout24,No
db53e4376a984121b4ff003e05c44ca4,,,,,,,,,,,,,,,,,,,https://www.autoscout24.com/offers/maserati-ghibli-gt-hybrid-led-carplay-acc-r19-schiebd-kam-electric-gasoline-black-db53e437-6a98-4121-b4ff-003e05c44ca4,2024-01-23,AutoScout24,No
124f68aac5fd496db1af5f6df5bc36bb,,,,,,,,,,,,,,,,,,,https://www.autoscout24.com/offers/bmw-540-540i-xdrive-340pk-m-sport-headup-adapt-led-h-k-lan-gasoline-blue-124f68aa-c5fd-496d-b1af-5f6df5bc36bb,2024-01-23,AutoScout24,No
521db589187e492b87ab1f5ec40c0df7,,,,,,,,,,,,,,,,,,,https://www.autoscout24.com/offers/land-rover-range-rover-3-0-tdv6-vogue-volledig-onderhouden-trekhaak-pan-diesel-yellow-521db589-187e-492b-87ab-1f5ec40c0df7,2024-01-23,AutoScout24,No
e310e1ed076b4d7fa54a4a038625ca83,,,,,,,,,,,,,,,,,,,https://www.autoscout24.com/offers/audi-a5-2-0-tdi-quattro-3xs-line-s-tronic-virtual-cockpit-diesel-black-e310e1ed-076b-4d7f-a54a-4a038625ca83,2024-01-23,AutoScout24,No
50cfda6433de4335bcc74594456a5a56,,,,,,,,,,,,,,,,,,,https://www.autoscout24.com/offers/audi-sq5-3-0-tdi-quattro-nav-led-acc-pano-vcockpit-mr-diesel-grey-50cfda64-33de-4335-bcc7-4594456a5a56,2024-01-23,AutoScout24,No
